ID,title,descr,author_ID,stock,price,currency_code,genre_ID,isbn13,avg_rating,rating_count,publisher
5584821,Keeping up with Teddy Robinson,,2305,1,20,USD,0,9780140307702,0,0,Puffin
5599355,Saints and angels,Angels--Juvenile literature ; Christian saints--Biography--Juvenile literature;Biography ; Children's literature,1648,1,37.76,USD,0,9780753455883,0,0,Kingfisher
5600611,Little Wolf's big book of badness and daring deeds,Little Wolf (Fictitious character)--Juvenile fiction;Children's fiction,2841,1,29.85,USD,0,9780007128907,0,0,Collins
5600736,Yertle the Turtle and other stories,"Children's stories, American ; Turtles--Pictorial works--Juvenile fiction;Children's fiction ; Pictorial work",2435,1,44,USD,0,9780007173143,0,0,HarperCollins
5601160,The complete adventures of Charlie and Mr Willy Wonka,,655,1,24,USD,0,9780141311319,0,0,Puffin
5602011,The little Kipper collection,"Children's stories, English--Pictorial works;Pictorial work",1349,1,40,USD,0,9780340844441,0,0,Hodder Children's
5604366,The little bear stories,"Bears--Pictorial works--Juvenile fiction ; Children's stories, English--Pictorial works;Children's fiction ; Pictorial work",2763,1,39,USD,0,9780744581546,0,0,Walker
5604426,Best stories for five-year-olds,,306,1,19,USD,0,9780747532255,0,0,Bloomsbury
5656134,Let's join in : four stories,"Children's stories, English--Pictorial works;Pictorial work",1321,1,31,USD,0,9780744577976,0,0,Walker
6684877,The Indian trilogy,"Fantasy fiction, English ; Children's stories, English ; Indians--Juvenile fiction;Children's fiction",151,1,37,USD,0,9780006749523,0,0,Collins
6715574,Little Grey Rabbit's storybook,,2729,1,50,USD,0,9780001941625,0,0,Collins
6715597,The big Mog book,,1469,1,43,USD,0,9780001982932,0,0,Collins
6716284,Stopping for a spell,"Children's stories, English ; Magic--Juvenile fiction;Children's fiction",1400,1,25,USD,0,9780007130405,0,0,Collins Voyager
6716300,"The heavenly collection : Winging it, Losing the plot, Flying high",Angels--Juvenile fiction;Children's fiction ; Fantasy,664,1,17,USD,0,9780007144068,0,0,Collins
6716425,The complete adventures of Charlie and Mr Willy Wonka,,655,1,37,USD,0,9780044400745,0,0,Unwin Hyman
6717324,Mrs Pepperpot's first omnibus,,2211,1,12,USD,0,9780091277703,0,0,Hutchinson
6717572,Katie Morag's island stories,,1213,1,16,USD,0,9780099438564,0,0,Red Fox
6718677,Unbearable,,1385,1,18,USD,0,9780140371031,0,0,Puffin
6718681,Fantastic Mr Fox,,655,1,41,USD,0,9780140382518,0,0,Puffin
6718682,The complete Borrowers stories,Midgets--Juvenile fiction;Children's fiction ; Fantasy,2016,1,49,USD,0,9780140384161,0,0,Puffin
6718891,The wonderful world of Oz,Oz (Imaginary place)--Juvenile fiction;Children's fiction ; Utopian fiction,199,1,40,USD,0,9780141180854,0,0,Penguin
6718895,Molesworth,"Children's stories, English ; Humorous stories, English ; School children--England--Fiction;Fiction",2855,1,24,USD,0,9780141182407,0,0,Penguin
6718912,"The Sheep-Pig : and, Ace","Children's stories, English ; Swine--Juvenile fiction;Children's fiction",1491,1,45,USD,0,9780141306520,0,0,Puffin
6718917,Back to front Benjy,,1491,1,40,USD,0,9780141310770,0,0,Puffin
6718918,"Boy : and, Going solo","Dahl, Roald ; Authors, English--20th century--Biography--Juvenile literature;Biography ; Children's literature",655,1,37,USD,0,9780141311418,0,0,Puffin
6718929,Keep it in the family,,896,1,10,USD,0,9780146003257,0,0,Penguin
